,Author,Date,Colour,Verification,Rating,Title,Desc
66,"['Amazon Customer', [...]]","['17 November 2018', [...]]","['Colour: Silver', 'Size: 256GB', [...]]",[['Verified Purchase']],"['4.0 out of 5 stars', [...]]","['Its quite thick if you compare with Iphone 7 or 8 , I bought it for its IOS', [...]]",[['Its a good device with edge to edge  display complimented by OLED screen but when you flip it side ways its quite heavy and thick if you compare with iphone 7 8 .']]
67,"['Nate', [...]]","['18 December 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Expensive but worth it', [...]]","[['iOS is so much fluid and saves much battery than an android cell', 'However the iPhone takes approx 3hrs for a normal regular charge compared to fast charge on android cells which is in the box']]"
68,"['Rachana', [...]]","['8 November 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Amazing 😉, fantabulous..... what else!!!!!!!', [...]]","[['A very great product delivered,,,, initially had issues but now it’s working amazing 😉 I love it \U0001f970 completely.......']]"
69,"['Rohit', [...]]","['17 October 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Awesome Buy', [...]]","[['After ordering the product in sale, I was bit worried but when I unbox the packet I found everything genuine and finally am happy that I bought it only in 67,999.']]"
70,"['Hussain Topiwala', [...]]","['9 November 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Nice phone', [...]]",[['Awesome phone but have to be very cautious in handling. Touch display is priced as similar to oneplus 6T.']]
71,"['thiyagu', [...]]","['29 November 2018', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['4.0 out of 5 stars', [...]]","['Good phone and got it in a good deal on Amazon', [...]]",[['Returning to an apple phone after 3 years and I realised how many compromises I was making.']]
72,"['Joydip Chanda', [...]]","['21 January 2019', [...]]","['Colour: Space Grey', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Very good', [...]]","[['I can’t believe iPhone X performance. I used Samsung s6 edge ,s7 & s8 but iPhone is iPhone. Very smooth performance. Nice battery backup. Picture quality very fine. Display heavy. Don’t listen anyone just go & buy.']]"
73,"['Amazon Customer', [...]]","['23 October 2018', [...]]","['Colour: Space Grey', 'Size: 256GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['A Genuine product with fast delivery by Amazon.', [...]]","[[""A very good product as well as very fast delivery to my location. Also phone is very original. Worked flawlessly and I think it's a very good deal because just after Amazon sale the price of handset increased by 15000 to 20000.""]]"
74,"['Amazon Customer', [...]]","['1 November 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Fantastic delivery and great product experience.', [...]]",[['Brought st sale price and with discounts applied as worth the price .Thanks Amazon  . Using Apple phone for long time so no worries about the product . Fantastic delivery and great product experience .']]
75,"['Mohit Beniwal', [...]]","['19 October 2018', [...]]","['Colour: Silver', 'Size: 64GB', [...]]",[['Verified Purchase']],"['5.0 out of 5 stars', [...]]","['Best Phone ever', [...]]","[['Smoothest phone ever used. Display is amazing, so many new utilities, apps, and user friendliness.']]"
